arm,rep,problem,solved,proof_lines,proof_decls,checks_pre_nudge,end,nudges,gave_up,ever_green_full,cost_full_first_green,spend_full,turns,tokens_in,tokens_out,tokens_cache_read,lean_check,check_snippet,grep_mathlib,search_mathlib,read,write,edit,spawn_calls,workers,worker_spend,add_fact,add_fact_workers,compactions
base,1,fatex_1,1,284,9,17,completed,0,0,1,0.05927,0.06063,42,34230,161278,3812736,17,0,0,0,13,1,13,0,0,0.00000,0,0,0
base,1,fatex_3,1,612,16,37,completed,0,0,1,0.13669,0.14172,89,85123,302336,16123520,37,0,0,0,8,22,28,0,0,0.00000,0,0,0
base,1,fatex_4,1,1079,15,73,completed,0,0,1,0.58807,0.59300,255,283936,572811,140309248,73,0,0,0,73,15,94,0,0,0.00000,0,0,0
base,1,fatex_5,1,485,7,17,completed,0,0,1,0.12457,0.12697,57,71949,295724,12175616,17,0,0,0,22,15,2,0,0,0.00000,0,0,0
base,1,fatex_6,1,796,27,25,completed,1,0,1,0.19744,0.20748,74,119132,441314,24013312,26,0,0,0,17,24,5,0,0,0.00000,0,0,0
base,1,fatex_7,1,317,14,20,completed,1,0,1,0.10502,0.11261,58,97791,236713,11656832,21,0,0,0,12,20,3,0,0,0.00000,0,0,0
base,1,fatex_8,1,157,1,15,completed,0,0,1,0.04564,0.04712,44,80325,100780,2733696,15,0,0,0,13,9,8,0,0,0.00000,0,0,0
base,1,fatex_9,1,473,5,25,completed,1,0,1,0.29533,0.30955,100,143408,580679,45316352,26,0,0,0,19,18,34,0,0,0.00000,0,0,0
base,1,fatex_10,1,1532,49,73,completed,0,0,1,0.51601,0.53044,196,310496,686279,105288832,73,0,0,0,38,7,76,0,0,0.00000,0,0,0
base,1,fatex_11,1,595,24,30,completed,0,0,1,0.21107,0.22127,88,193829,390870,30247552,30,0,0,0,16,10,31,0,0,0.00000,0,0,0
base,1,fatex_12,1,794,59,40,completed,0,0,1,0.16041,0.16529,92,77104,354123,19763328,40,0,0,0,18,26,13,0,0,0.00000,0,0,0
base,1,fatex_14,1,134,1,16,completed,1,0,1,0.03544,0.03835,42,23118,94438,3095808,17,0,0,0,8,16,1,0,0,0.00000,0,0,0
base,1,fatex_16,1,820,14,69,completed,5,0,1,0.51248,0.53113,237,499440,655422,99174400,76,0,0,0,60,23,77,0,0,0.00000,0,0,1
base,1,fatex_17,0,,,66,budget_exceeded,1,0,0,,1.03572,350,632062,1551250,183173504,66,0,0,0,64,17,199,0,0,0.00000,0,0,1
base,1,fatex_18,0,,,149,budget_exceeded,1,1,0,,1.00141,449,607074,1090934,218200960,158,0,0,0,82,9,201,0,0,0.00000,0,0,1
base,1,fatex_19,1,2190,266,89,completed,3,0,1,0.70577,0.73747,302,582469,1105596,123698176,92,0,0,0,85,35,92,0,0,0.00000,0,0,1
base,1,fatex_20,0,,,123,budget_exceeded,5,1,0,,1.00033,363,563241,1403538,188745856,141,0,0,0,38,24,155,0,0,0.00000,0,0,2
base,1,fatex_21,1,330,3,33,completed,3,0,1,0.11798,0.13059,90,103588,245253,16936192,36,0,0,0,11,18,19,0,0,0.00000,0,0,0
base,1,fatex_22,1,533,9,21,completed,0,0,1,0.17094,0.17551,61,115428,403337,16578560,21,0,0,0,23,16,4,0,0,0.00000,0,0,0
base,1,fatex_24,1,1303,52,36,completed,1,0,1,0.51932,0.52445,127,274303,1064891,67099136,36,0,0,0,34,15,43,0,0,0.00000,0,0,0
base,1,fatex_25,0,,,96,budget_exceeded,1,1,0,,1.00080,449,591264,1277191,200144640,155,0,0,0,75,82,136,0,0,0.00000,0,0,1
base,1,fatex_26,0,,,177,budget_exceeded,1,0,0,,1.00140,415,435548,1621809,173683456,177,0,0,0,55,164,20,0,0,0.00000,0,0,1
base,1,fatex_27,0,,,77,budget_exceeded,0,0,0,,1.00126,361,866281,1221529,192124416,77,0,0,0,109,29,150,0,0,0.00000,0,0,2
base,1,fatex_28,0,,,86,completed,8,1,0,,0.46832,228,171252,598695,98825216,97,0,0,0,15,88,21,0,0,0.00000,0,0,0
base,1,fatex_29,1,114,1,23,completed,0,0,1,0.04860,0.05000,52,77137,107134,3286656,23,0,0,0,6,23,0,0,0,0.00000,0,0,0
base,1,fatex_30,1,184,2,10,completed,0,0,1,0.02495,0.02620,26,16821,74727,1043200,10,0,0,0,5,10,0,0,0,0.00000,0,0,0
base,1,fatex_31,0,,,163,budget_exceeded,0,0,0,,1.00222,460,466092,1057554,228875264,163,0,0,0,101,18,180,0,0,0.00000,0,0,1
base,1,fatex_32,0,,,96,budget_exceeded,1,1,0,,1.00151,431,537539,1265508,204253952,167,0,0,0,34,144,84,0,0,0.00000,0,0,1
base,1,fatex_33,0,,,75,completed,21,1,0,,0.88971,348,415610,1226686,174306176,114,0,0,0,21,137,55,0,0,0.00000,0,0,1
base,1,fatex_34,1,900,15,63,completed,0,0,1,0.43748,0.45266,199,201344,582685,93330048,63,0,0,0,44,5,89,0,0,0.00000,0,0,0
base,1,fatex_35,1,174,1,19,completed,0,0,1,0.04403,0.04548,46,54153,114480,2085504,19,0,0,0,10,2,17,0,0,0.00000,0,0,0
base,1,fatex_36,1,498,4,34,completed,4,0,1,0.20585,0.24000,117,204515,406080,34881664,39,0,0,0,34,23,15,0,0,0.00000,0,0,0
base,1,fatex_37,0,,,129,budget_exceeded,0,0,0,,1.00047,448,459808,1161072,218214272,129,0,0,0,74,11,240,0,0,0.00000,0,0,1
base,1,fatex_38,1,252,10,31,completed,1,0,1,0.16860,0.17743,73,117909,376914,19782528,32,0,0,0,10,26,5,0,0,0.00000,0,0,0
base,1,fatex_39,1,601,8,196,completed,1,0,1,0.96415,0.97159,486,422734,1012747,224583936,196,0,0,0,39,137,111,0,0,0.00000,0,0,1
base,1,fatex_40,1,960,30,105,completed,1,0,1,0.75834,0.79095,298,730040,1006671,145313792,106,0,0,0,70,10,118,0,0,0.00000,0,0,1
base,1,fatex_41,0,,,98,budget_exceeded,2,0,0,,1.00297,287,439174,1909998,145246336,98,0,0,0,70,20,96,0,0,0.00000,0,0,1
base,1,fatex_42,1,1556,75,106,completed,0,0,1,0.70303,0.70842,307,249799,723313,168185216,106,0,0,0,75,12,129,0,0,0.00000,0,0,0
base,1,fatex_43,0,,,52,completed,21,1,0,,0.16614,184,213636,161708,32481792,77,0,0,0,20,71,0,0,0,0.00000,0,0,0
base,1,fatex_44,0,,,154,budget_exceeded,0,0,0,,1.00087,452,400918,1182847,219122304,154,0,0,0,98,10,190,0,0,0.00000,0,0,1
base,1,fatex_45,1,242,8,29,completed,0,0,1,0.13961,0.14389,70,122917,291378,16104576,29,0,0,0,7,2,31,0,0,0.00000,0,0,0
base,1,fatex_46,1,582,11,21,completed,0,0,1,0.20355,0.20879,75,222778,407042,22724096,21,0,0,0,40,15,7,0,0,0.00000,0,0,0
base,1,fatex_47,0,,,96,budget_exceeded,2,1,0,,1.00096,392,426575,1592399,176918400,161,0,0,0,45,47,138,0,0,0.00000,0,0,1
base,1,fatex_48,1,258,9,16,completed,0,0,1,0.07909,0.08141,46,43193,204200,6495872,16,0,0,0,12,1,17,0,0,0.00000,0,0,0
base,1,fatex_49,1,202,5,7,completed,0,0,1,0.04322,0.04472,21,29584,129703,1523456,7,0,0,0,12,3,2,0,0,0.00000,0,0,0
base,1,fatex_50,1,999,19,104,completed,0,0,1,0.50939,0.51468,244,261975,704732,100241024,104,0,0,0,27,66,51,0,0,0.00000,0,0,0
base,1,fatex_51,1,294,20,64,completed,0,0,1,0.15293,0.15875,139,119458,258318,24891264,64,0,0,0,16,47,12,0,0,0.00000,0,0,0
base,1,fatex_52,1,598,5,31,completed,4,0,1,0.24611,0.27906,113,252247,425858,44466944,35,0,0,0,35,12,27,0,0,0.00000,0,0,0
base,1,fatex_53,1,1276,144,78,completed,1,0,1,0.47008,0.49334,251,203062,604565,105581568,80,0,0,0,51,5,113,0,0,0.00000,0,0,0
base,1,fatex_54,1,119,6,13,completed,0,0,1,0.02750,0.02857,31,32076,73487,1250560,13,0,0,0,3,2,12,0,0,0.00000,0,0,0
base,1,fatex_55,1,382,3,34,completed,0,0,1,0.12793,0.13252,81,140363,241850,16123904,34,0,0,0,16,11,23,0,0,0.00000,0,0,0
base,1,fatex_56,0,,,51,completed,6,1,0,,0.63025,152,171637,1488114,67696000,61,0,0,0,20,33,33,0,0,0.00000,0,0,1
base,1,fatex_57,1,351,7,21,completed,0,0,1,0.09329,0.09629,55,77094,233335,7200000,21,0,0,0,10,5,18,0,0,0.00000,0,0,0
base,1,fatex_58,0,,,201,budget_exceeded,0,0,0,,1.00066,479,511849,1077063,224081024,202,0,0,0,48,137,89,0,0,0.00000,0,0,1
base,1,fatex_59,1,512,33,13,completed,0,0,1,0.12696,0.13035,53,115627,287527,12021120,13,0,0,0,12,11,19,0,0,0.00000,0,0,0
base,1,fatex_61,0,,,54,budget_exceeded,6,1,0,,1.00305,374,638034,1300915,196239744,131,0,0,0,48,112,79,0,0,0.00000,0,0,1
base,1,fatex_62,0,,,181,budget_exceeded,1,1,0,,1.00079,600,563154,811773,248091008,209,0,0,0,73,89,230,0,0,0.00000,0,0,1
base,1,fatex_64,0,,,163,budget_exceeded,0,0,0,,1.00151,468,488716,1169192,216327040,163,0,0,0,86,14,209,0,0,0.00000,0,0,1
base,1,fatex_65,0,,,30,budget_exceeded,8,1,0,,1.00000,444,476547,1231738,210142464,220,0,0,0,18,121,79,0,0,0.00000,0,0,1
base,1,fatex_66,0,,,49,completed,11,1,0,,0.46299,223,166485,669658,90062720,96,0,0,0,11,91,14,0,0,0.00000,0,0,0
base,1,fatex_67,1,306,8,13,completed,0,0,1,0.07119,0.07300,31,74000,179138,4457344,13,0,0,0,3,11,3,0,0,0.00000,0,0,0
base,1,fatex_68,0,,,58,budget_exceeded,8,1,0,,1.00028,422,562480,1259606,203159808,138,0,0,0,85,41,149,0,0,0.00000,0,0,1
base,1,fatex_69,1,308,5,92,completed,0,0,1,0.19506,0.19984,203,208407,249095,36040064,92,0,0,0,15,4,91,0,0,0.00000,0,0,0
base,1,fatex_70,1,60,1,7,completed,0,0,1,0.01454,0.01521,18,31468,33938,464512,7,0,0,0,3,5,2,0,0,0.00000,0,0,0
base,1,fatex_71,0,,,68,budget_exceeded,8,1,0,,1.00273,397,832508,1285089,187984000,141,0,0,0,61,6,179,0,0,0.00000,0,0,1
base,1,fatex_72,0,,,25,completed,26,1,0,,0.58685,267,430490,673674,120697856,104,0,0,0,21,14,99,0,0,0.00000,0,0,1
base,1,fatex_73,0,,,39,completed,14,1,0,,0.17614,128,186056,265388,27067136,43,0,0,0,37,48,0,0,0,0.00000,0,0,0
base,1,fatex_74,0,,,28,completed,9,1,0,,0.12534,96,141302,254095,12288000,37,0,0,0,12,7,30,0,0,0.00000,0,0,0
base,1,fatex_76,0,,,67,completed,13,1,0,,0.76195,261,375959,1274697,125857536,118,0,0,0,36,15,77,0,0,0.00000,0,0,1
base,1,fatex_78,0,,,29,completed,11,1,0,,0.28532,130,202782,466187,45143552,47,0,0,0,34,9,45,0,0,0.00000,0,0,0
base,1,fatex_79,0,,,71,completed,11,1,0,,0.30957,206,228358,364942,62646912,90,0,0,0,9,23,74,0,0,0.00000,0,0,0
base,1,fatex_80,0,,,36,completed,10,1,0,,0.26067,133,177057,463915,37851648,57,0,0,0,13,12,46,0,0,0.00000,0,0,0
base,1,fatex_82,0,,,29,completed,11,1,0,,0.12438,103,125029,215362,16634752,40,0,0,0,15,36,6,0,0,0.00000,0,0,0
base,1,fatex_83,0,,,14,completed,7,1,0,,0.15103,47,152538,373415,8971648,17,0,0,0,13,12,1,0,0,0.00000,0,0,0
base,1,fatex_84,1,148,1,13,completed,0,0,1,0.06278,0.06465,30,27210,179627,3767296,13,0,0,0,4,7,5,0,0,0.00000,0,0,0
base,1,fatex_85,0,,,30,budget_exceeded,1,1,0,,1.00049,508,174629,929821,255604352,425,0,0,0,20,57,12,0,0,0.00000,0,0,1
base,1,fatex_86,0,,,76,completed,7,1,0,,0.69152,252,233845,1275636,107716736,111,0,0,0,17,106,14,0,0,0.00000,0,0,1
base,1,fatex_87,0,,,14,budget_exceeded,1,0,0,,1.00282,104,368450,2687562,70972416,14,0,0,0,5,81,0,0,0,0.00000,0,0,0
base,1,fatex_88,0,,,25,completed,8,1,0,,0.35382,71,200272,788586,37493248,29,0,0,0,6,23,4,0,0,0.00000,0,0,0
base,1,fatex_89,1,880,8,33,completed,8,0,1,0.31867,0.39413,145,256319,595458,68397312,41,0,0,0,47,29,25,0,0,0.00000,0,0,0
base,1,fatex_90,0,,,70,budget_exceeded,12,1,0,,1.04171,273,207202,2279061,133774848,149,0,0,0,15,88,9,0,0,0.00000,0,0,1
base,1,fatex_91,0,,,150,budget_exceeded,1,1,0,,1.00061,530,457021,945043,240007040,209,0,0,0,61,6,253,0,0,0.00000,0,0,1
base,1,fatex_92,0,,,147,completed,13,1,0,,0.48035,467,298693,314086,125208832,203,0,0,0,10,58,184,0,0,0.00000,0,0,0
base,1,fatex_93,0,,,82,budget_exceeded,0,0,0,,1.00057,369,322684,1542257,186986368,82,0,0,0,13,253,25,0,0,0.00000,0,0,1
base,1,fatex_94,0,,,73,completed,8,1,0,,0.19727,202,135447,281920,35489408,93,0,0,0,8,93,2,0,0,0.00000,0,0,0
base,1,fatex_95,0,,,101,budget_exceeded,1,1,0,,1.00338,421,519180,1298734,202517632,147,0,0,0,74,12,184,0,0,0.00000,0,0,1
base,1,fatex_96,0,,,38,completed,12,1,0,,0.32952,115,107720,645200,47779072,48,0,0,0,13,44,2,0,0,0.00000,0,0,0
base,1,fatex_97,0,,,79,budget_exceeded,85,1,0,,1.00098,409,588310,1081732,219905024,172,0,0,0,35,35,90,0,0,0.00000,0,0,1
base,1,fatex_98,0,,,37,completed,10,1,0,,0.38233,118,214366,698673,55960192,43,0,0,0,17,33,17,0,0,0.00000,0,0,0
base,1,fatex_100,0,,,90,completed,13,1,0,,0.87298,327,478832,1356886,152148864,127,0,0,0,28,5,154,0,0,0.00000,0,0,1
base,2,fatex_1,1,259,9,11,completed,0,0,1,0.05338,0.05546,29,77349,134384,2500224,11,0,0,0,6,9,3,0,0,0.00000,0,0,0
base,2,fatex_3,1,876,37,22,completed,0,0,1,0.17651,0.18008,53,101737,449749,14251648,22,0,0,0,10,6,17,0,0,0.00000,0,0,0
base,2,fatex_4,1,855,21,29,completed,0,0,1,0.24484,0.25185,88,182169,483306,32506752,29,0,0,0,25,9,27,0,0,0.00000,0,0,0
base,2,fatex_5,1,257,5,22,completed,2,0,1,0.07207,0.07758,53,56712,179680,6902528,24,0,0,0,9,21,0,0,0,0.00000,0,0,0
base,2,fatex_6,1,438,13,54,completed,1,0,1,0.15213,0.16041,120,106376,305280,21441024,54,0,0,0,13,53,1,0,0,0.00000,0,0,0
base,2,fatex_7,1,377,12,15,completed,0,0,1,0.07959,0.08215,46,103727,190779,5076352,15,0,0,0,13,13,5,0,0,0.00000,0,0,0
base,2,fatex_8,1,217,7,19,completed,0,0,1,0.04856,0.05037,44,61297,117837,3142144,19,0,0,0,9,8,10,0,0,0.00000,0,0,0
base,2,fatex_9,1,448,7,27,completed,4,0,1,0.14552,0.16689,93,149719,299677,22150656,31,0,0,0,29,13,20,0,0,0.00000,0,0,0
base,2,fatex_10,0,,,108,budget_exceeded,1,0,0,,1.00034,285,426805,1906856,145239808,108,0,0,0,50,75,49,0,0,0.00000,0,0,1
base,2,fatex_11,1,741,34,40,completed,0,0,1,0.31003,0.31949,111,274944,502078,50148864,40,0,0,0,41,13,28,0,0,0.00000,0,0,0
base,2,fatex_12,1,777,46,42,completed,0,0,1,0.29413,0.29959,137,137708,490526,51056768,42,0,0,0,38,0,58,0,0,0.00000,0,0,0
base,2,fatex_14,1,98,1,6,completed,0,0,1,0.02343,0.02492,16,33086,64831,762240,6,0,0,0,2,4,3,0,0,0.00000,0,0,0
base,2,fatex_16,0,,,91,budget_exceeded,4,1,0,,1.00277,279,663423,2203715,104588032,97,0,0,0,51,26,99,0,0,0.00000,0,0,1
base,2,fatex_17,0,,,77,budget_exceeded,3,0,0,,1.04836,258,461034,2236766,127685120,77,0,0,0,60,14,100,0,0,0.00000,0,0,1
base,2,fatex_18,0,,,136,budget_exceeded,1,0,0,,1.00288,372,985263,1290250,179884288,136,0,0,0,77,1,161,0,0,0.00000,0,0,1
base,2,fatex_19,0,,,190,budget_exceeded,0,0,0,,1.00048,489,436732,1238919,211585536,190,0,0,0,64,56,177,0,0,0.00000,0,0,1
base,2,fatex_20,0,,,98,budget_exceeded,2,1,0,,1.00225,286,633991,1678512,158397312,110,0,0,0,50,46,85,0,0,0.00000,0,0,1
base,2,fatex_21,1,305,1,23,completed,0,0,1,0.15799,0.16238,52,173873,335543,15743872,23,0,0,0,6,13,9,0,0,0.00000,0,0,0
base,2,fatex_22,1,825,26,58,completed,4,0,1,0.41626,0.45979,165,296723,607430,88632576,62,0,0,0,32,30,39,0,0,0.00000,0,0,0
base,2,fatex_24,1,1255,56,65,completed,2,0,1,0.57836,0.58425,244,413422,739602,114030080,66,0,0,0,75,9,91,0,0,0.00000,0,0,1
base,2,fatex_25,0,,,176,budget_exceeded,0,0,0,,1.00040,462,533662,1230736,207528320,176,0,0,0,71,71,147,0,0,0.00000,0,0,1
base,2,fatex_26,1,1123,26,48,completed,1,0,1,0.38455,0.40451,155,186639,651711,69965824,49,0,0,0,50,34,31,0,0,0.00000,0,0,0
base,2,fatex_27,0,,,85,budget_exceeded,0,0,0,,1.00113,417,758218,1300039,189632896,85,0,0,0,146,17,172,0,0,0.00000,0,0,2
base,2,fatex_28,0,,,132,budget_exceeded,3,1,0,,1.00133,418,592124,1471238,180887552,143,0,0,0,57,30,186,0,0,0.00000,0,0,1
base,2,fatex_29,1,404,9,41,completed,0,0,1,0.15132,0.15532,95,232636,285143,15325952,41,0,0,0,14,36,5,0,0,0.00000,0,0,0
base,2,fatex_30,1,194,3,9,completed,0,0,1,0.05219,0.05386,23,40520,146846,2526208,9,0,0,0,4,7,2,0,0,0.00000,0,0,0
base,2,fatex_31,0,,,168,budget_exceeded,1,1,0,,1.00247,462,491250,1276251,205835904,183,0,0,0,56,51,172,0,0,0.00000,0,0,1
base,2,fatex_32,0,,,74,completed,5,1,0,,0.44596,172,223286,731824,74923264,75,0,0,0,10,60,22,0,0,0.00000,0,0,0
base,2,fatex_33,0,,,41,budget_exceeded,0,0,0,,1.06104,103,155075,3329480,38239488,41,0,0,0,8,11,36,0,0,0.00000,0,0,0
base,2,fatex_34,0,,,21,budget_exceeded,2,1,0,,1.00088,516,216055,1027026,243952640,477,0,0,0,10,27,2,0,0,0.00000,0,0,1
base,2,fatex_35,1,309,3,12,completed,0,0,1,0.09839,0.10210,33,132847,249977,4824192,12,0,0,0,9,9,3,0,0,0.00000,0,0,0
base,2,fatex_36,1,606,14,96,completed,0,0,1,0.46057,0.46279,227,192362,529872,102678144,96,0,0,0,27,46,59,0,0,0.00000,0,0,0
